2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:20,370 - PERF - FILE_PROCESSING_TIME: Current=13912.45ms, Average=8822.42ms, Total_Files=57
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:27,622 - PERF - FILE_PROCESSING_TIME: Current=7188.50ms, Average=8794.25ms, Total_Files=58
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:28,954 - PERF - FILE_PROCESSING_TIME: Current=480.49ms, Average=8521.10ms, Total_Files=60
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
2025-06-23 16:23:34,115 - PERF - FILE_PROCESSING_TIME: Current=5073.49ms, Average=8464.59ms, Total_Files=61
